"","ID","AdmArea","Month","Year","TotalAmount","Suppliers","global_id"
"11","121","Центральный административный округ","Февраль","2017","1.12902393508E9","Supplier:ОАО «МОЭК»
Amount:4.1778333039E8

Supplier:Газпром межрегионгаз Москва
Amount:1.90627893E7

Supplier:Мосводоканал
Amount:1.1118957768E8

Supplier:Ростелеком
Amount:3.235883836E7

Supplier:РСВО
Amount:8997614.32

Supplier:управляющие компании
Amount:3.4956093621E8

Supplier:прочие
Amount:1.9007084882E8

","612943334"
"12","133","Центральный административный округ","Март","2017","1.11185381194E9","Supplier:ОАО «МОЭК»
Amount:4.1340835479E8

Supplier:Газпром межрегионгаз Москва
Amount:1.904782367E7

Supplier:Мосводоканал
Amount:1

Supplier:Ростелеком
Amount:3.227504473E7

Supplier:РСВО
Amount:8975428.37

Supplier:управляющие компании
Amount:3.4088358108E8

Supplier:прочие
Amount:1.8810983603E8

","612947382"
"13","145","Центральный административный округ","Апрель","2017","1.11532081567E9","Supplier:ОАО «МОЭК»
Amount:4.1447525624E8

Supplier:Газпром межрегионгаз Москва
Amount:1.910680467E7

Supplier:Мосводоканал
Amount:1.1134421727E8

Supplier:Ростелеком
Amount:3.21968536E7

Supplier:РСВО
Amount:8929211.79

Supplier:управляющие компании
Amount:3.4084189129E8

Supplier:прочие
Amount:1.8842658081E8

","612957874"
"14","157","Центральный административный округ","Май","2017","5.622251613E7","Supplier:ОАО «МОЭК»
Amount:4.2165607381E8

Supplier:Мосводоканал
Amount:1.1505460747E8

Supplier:Газпром межрегионгаз Москва
Amount:1.924446464E7

Supplier:Ростелеком
Amount:3.218553655E7

Supplier:РСВО
Amount:8944000.46

Supplier:управляющие компании
Amount:3.368935288E8

Supplier:прочие
Amount:1.8921423067E8

","613106851"
"15","169","Центральный административный округ","Июнь","2017","1.13130944543E9","Supplier:ОАО «МОЭК»
Amount:4.2424533225E8

Supplier:Газпром межрегионгаз Москва
Amount:2

Supplier:Мосводоканал
Amount:1.1872646321E8

Supplier:Ростелеком
Amount:3.210994598E7

Supplier:РСВО
Amount:8895609.8

Supplier:управляющие компании
Amount:3.2836574647E8

Supplier:прочие
Amount:1.9851309863E8

","613114399"
"16","182","Центральный административный округ","Июль","2017","1.19721554372E9","Supplier:ОАО «МОЭК»
Amount:4.3660807988E8

Supplier:Газпром межрегионгаз Москва
Amount:2.124645373E7

Supplier:Мосводоканал
Amount:1.225741666E8

Supplier:Ростелеком
Amount:3.207438665E7

Supplier:РСВО
Amount:9851566.41

Supplier:управляющие компании
Amount:3.564173392E8

Supplier:прочие
Amount:2.1844355125E8

","885810666"
"17","326","Центральный административный округ","Июль","2018","1.23166821378E9","Supplier:ОАО «МОЭК»
Amount:4.2165761525E8

Supplier:Газпром межрегионгаз Москва
Amount:2.223507137E7

Supplier:Мосводоканал
Amount:1.1435738521E8

Supplier:Ростелеком
Amount:3.382293171E7

Supplier:РСВО
Amount:9992467.9

Supplier:управляющие компании
Amount:4.1209896658E8

Supplier:прочие
Amount:2.1750377576E8

","885811216"
"18","314","Центральный административный округ","Июнь","2018","1.23054142998E9","Supplier:ОАО «МОЭК»
Amount:4.1710745891E8

Supplier:Газпром межрегионгаз Москва
Amount:2.151777216E7

Supplier:Мосводоканал
Amount:1.1705791836E8

Supplier:Ростелеком
Amount:3.392417396E7

Supplier:РСВО
Amount:1

Supplier:управляющие компании
Amount:4.1273064199E8

Supplier:прочие
Amount:2.1814836668E8

","885813176"
"19","302","Центральный административный округ","Май","2018","1.24709934901E9","Supplier:ОАО «МОЭК»
Amount:4.2821696638E8

Supplier:Газпром межрегионгаз Москва
Amount:2.147709154E7

Supplier:Мосводоканал
Amount:1.2076325695E8

Supplier:Ростелеком
Amount:3.413624115E7

Supplier:РСВО
Amount:1

Supplier:управляющие компании
Amount:4.1474595964E8

Supplier:прочие
Amount:2.1771172855E8

","885813824"
"20","278","Центральный административный округ","Март","2018","1.23893223352E9","Supplier:ОАО «МОЭК»
Amount:4.2517024107E8

Supplier:Газпром межрегионгаз Москва
Amount:2.127689152E7

Supplier:Мосводоканал
Amount:1.3138085947E8

Supplier:Ростелеком
Amount:3.386174188E7

Supplier:РСВО
Amount:9536470.21

Supplier:управляющие компании
Amount:4

Supplier:прочие
Amount:2.1736317009E8

","885817024"
